Iteration	CPUTime	PhysTime	Travels
1	17	0	0.00634350086
2	24	0	0.0126870017
3	31	0	0.0190305026
4	38	0	0.0253740034
5	44	0	0.0317175043
6	50	0	0.0380610052
7	56	0	0.044404506
8	61	0	0.0507480069
9	67	0	0.0570915078
10	73	0	0.0634350086
11	79	0	0.0697785095
12	85	0	0.0761220103
13	91	0	0.0824655112
14	97	0	0.0888090121
15	103	0	0.0951525129
16	109	0	0.101496014
17	115	0	0.107839515
18	121	0	0.114183016
19	127	0	0.120526516
20	134	0	0.126870017
21	140	0	0.133213518
22	146	0	0.139557019
23	152	0	0.14590052
24	157	0	0.152244021
25	163	0	0.158587522
26	169	0	0.164931022
27	175	0	0.171274523
28	181	0	0.177618024
29	187	0	0.183961525
30	194	0	0.190305026
31	200	0	0.196648527
32	205	0	0.202992028
33	212	0	0.209335528
34	218	0	0.215679029
35	224	0	0.22202253
36	230	0	0.228366031
37	236	0	0.234709532
38	242	0	0.241053033
39	248	0	0.247396534
40	254	0	0.253740034
41	261	0	0.260083535
42	267	0	0.266427036
43	273	0	0.272770537
44	279	0	0.279114038
45	285	0	0.285457539
46	291	0	0.29180104
47	297	0	0.298144541
48	303	0	0.304488041
49	309	0	0.310831542
50	315	0	0.317175043
51	321	0	0.323518544
52	327	0	0.329862045
53	333	0	0.336205546
54	340	0	0.342549047
55	346	0	0.348892547
56	352	0	0.355236048
57	358	0	0.361579549
58	364	0	0.36792305
59	369	0	0.374266551
60	375	0	0.380610052
61	381	0	0.386953553
62	387	0	0.393297053
63	393	0	0.399640554
64	399	0	0.405984055
65	404	0	0.412327556
66	410	0	0.418671057
67	416	0	0.425014558
68	422	0	0.431358059
69	428	0	0.437701559
70	434	0	0.44404506
71	440	0	0.450388561
72	446	0	0.456732062
73	452	0	0.463075563
74	457	0	0.469419064
75	463	0	0.475762565
76	469	0	0.482106065
77	474	0	0.488449566
78	480	0	0.494793067
79	486	0	0.501136568
80	492	0	0.507480069
81	498	0	0.51382357
82	504	0	0.520167071
83	510	0	0.526510572
84	516	0	0.532854072
85	522	0	0.539197573
86	528	0	0.545541074
87	534	0	0.551884575
88	540	0	0.558228076
89	546	0	0.564571577
90	552	0	0.570915078
91	558	0	0.577258578
92	563	0	0.583602079
93	569	0	0.58994558
94	575	0	0.596289081
95	581	0	0.602632582
96	587	0	0.608976083
97	593	0	0.615319584
98	598	0	0.621663084
99	604	0	0.628006585
100	610	0	0.634350086
101	619	0	0.640693587
102	626	0	0.647037088
103	632	0	0.653380589
104	638	0	0.65972409
105	644	0	0.66606759
106	650	0	0.672411091
107	655	0	0.678754592
108	661	0	0.685098093
109	668	0	0.691441594
110	673	0	0.697785095
111	679	0	0.704128596
112	685	0	0.710472097
113	691	0	0.716815597
114	698	0	0.723159098
115	704	0	0.729502599
116	710	0	0.7358461
117	716	0	0.742189601
118	721	0	0.748533102
119	727	0	0.754876603
120	733	0	0.761220103
121	739	0	0.767563604
122	745	0	0.773907105
123	751	0	0.780250606
124	757	0	0.786594107
125	763	0	0.792937608
126	769	0	0.799281109
127	774	0	0.805624609
128	780	0	0.81196811
129	786	0	0.818311611
130	793	0	0.824655112
131	800	0	0.830998613
132	808	0	0.837342114
133	816	0	0.843685615
134	825	0	0.850029115
135	832	0	0.856372616
136	839	0	0.862716117
137	846	0	0.869059618
138	853	0	0.875403119
139	860	0	0.88174662
140	866	0	0.888090121
141	872	0	0.894433622
142	878	0	0.900777122
143	886	0	0.907120623
144	893	0	0.913464124
145	900	0	0.919807625
146	907	0	0.926151126
147	914	0	0.932494627
148	920	0	0.938838128
149	926	0	0.945181628
150	933	0	0.951525129
151	939	0	0.95786863
152	945	0	0.964212131
153	951	0	0.970555632
154	958	0	0.976899133
155	964	0	0.983242634
156	971	0	0.989586134
157	978	0	0.995929635
158	985	0	1.00227314
159	992	0	1.00861664
160	999	0	1.01496014
161	1006	0	1.02130364
162	1014	0	1.02764714
163	1021	0	1.03399064
164	1028	0	1.04033414
165	1036	0	1.04667764
166	1042	0	1.05302114
167	1050	0	1.05936464
168	1057	0	1.06570814
169	1065	0	1.07205165
170	1071	0	1.07839515
171	1077	0	1.08473865
172	1085	0	1.09108215
173	1093	0	1.09742565
174	1099	0	1.10376915
175	1107	0	1.11011265
176	1114	0	1.11645615
177	1122	0	1.12279965
178	1130	0	1.12914315
179	1137	0	1.13548665
180	1144	0	1.14183016
181	1150	0	1.14817366
182	1157	0	1.15451716
183	1163	0	1.16086066
184	1169	0	1.16720416
185	1177	0	1.17354766
186	1183	0	1.17989116
187	1189	0	1.18623466
188	1195	0	1.19257816
189	1201	0	1.19892166
